M107,M220,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
0,0,0,0,0,900,1,0,0,0,0,0,54.66511,0,90.2,109.8,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,55.24706,0,90.2,90.2,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,55.82901,0,109.8,90.2,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,56.40918,0,109.8,109.74,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,109.17,109.477,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,56.43236,0,109.477,109.17,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,56.48101,0,109.477,108.261,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,56.573,0,108.261,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,56.62165,0,107.351,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,56.78243,0,109.477,107.351,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,56.83108,0,109.477,106.441,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,57.06067,0,106.441,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,57.10932,0,105.532,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,57.4077,0,109.477,105.532,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,57.45635,0,109.477,104.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,57.82353,0,104.622,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,57.87218,0,103.713,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,58.30816,0,109.477,103.713,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,58.35681,0,109.477,102.803,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,58.86159,0,102.803,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,58.91024,0,101.893,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,59.48382,0,109.477,101.893,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,59.53247,0,109.477,100.984,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,60.17485,0,100.984,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,60.2235,0,100.074,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,60.93468,0,109.477,100.074,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,60.98333,0,109.477,99.164,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,61.76331,0,99.164,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,61.81195,0,98.255,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,62.66073,0,109.477,98.255,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,62.70938,0,109.477,97.345,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,63.62696,0,97.345,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,63.67561,0,96.436,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,64.66198,0,109.477,96.436,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,64.71063,0,109.477,95.526,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,65.76581,0,95.526,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,65.81445,0,94.616,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,66.93843,0,109.477,94.616,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,66.98708,0,109.477,93.707,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,68.17985,0,93.707,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,68.2285,0,92.797,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,69.49007,0,109.477,92.797,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,69.53872,0,109.477,91.888,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,70.86909,0,91.888,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,70.91774,0,90.978,109.477,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,72.31691,0,109.477,90.978,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,72.35131,0,109.022,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,73.75048,0,90.523,109.022,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,73.79913,0,90.523,108.112,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,75.1295,0,108.112,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,75.17815,0,107.203,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,76.43972,0,90.523,107.203,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,76.48836,0,90.523,106.293,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,77.68113,0,106.293,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,77.72978,0,105.384,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,78.85375,0,90.523,105.384,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,78.9024,0,90.523,104.474,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,79.95757,0,104.474,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,80.00622,0,103.564,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,80.9926,0,90.523,103.564,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,81.04124,0,90.523,102.655,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,81.95882,0,102.655,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,82.00747,0,101.745,90.523,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,82.85624,0,90.523,101.745,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,82.90489,0,90.523,100.835,0,0,0,No
